source,target,weight
K00031,K02448,0.9071207430340558
K00031,K02487,0.8596491228070176
K00031,K02489,-0.7729618163054695
K00031,K02558,0.894736842105263
K00031,K02563,0.8245614035087718
K00031,K02572,-0.6388028895768835
K00031,K02641,0.894736842105263
K00031,K02658,-0.6491228070175438
K00031,K02659,0.8637770897832818
K00031,K02660,0.7523219814241485
K00031,K02661,0.7564499484004128
K00031,K02667,0.7007223942208461
K00031,K03091,-0.7915376676986584
K00031,K03093,-0.8204334365325078
K00031,K03110,0.7729618163054695
K00031,K03183,0.6924664602683178
K00031,K03385,-0.6759545923632612
K00031,K03407,0.7461300309597524
K00031,K03551,0.7089783281733747
K00031,K03553,0.7234262125902993
K00031,K03581,-0.6615067079463364
K00031,K03599,0.7708978328173374
K00031,K03600,0.7647058823529412
K00031,K03612,-0.6573787409700722
K00031,K03615,-0.6243550051599587
K00031,K03617,-0.7461300309597524
K00031,K03688,0.8555211558307534
K00031,K03690,0.7956656346749225
K00031,K03700,-0.6222910216718266
K00031,K03701,0.8390092879256965
K00031,K03702,0.7358101135190918
K00031,K03723,0.8059855521155831
K00031,K03741,0.6718266253869969
K00031,K03776,0.6367389060887513
K00031,K03782,0.8101135190918473
K00031,K03806,0.6904024767801857
K00031,K03879,0.7084783057791895
K00031,K03880,0.7849371717220908
K00031,K03882,0.6303350956196254
K00031,K03885,0.7564499484004128
K00031,K03934,0.7828967364674799
K00031,K03935,0.7252934644557852
K00031,K03936,0.7965311519261129
K00031,K03940,0.8163054695562436
K00031,K03941,0.8658410732714137
K00031,K03943,0.8802889576883385
K00031,K04090,0.8968008255933952
K00031,K04103,0.739938080495356
K00031,K04561,0.8926728586171312
K00031,K04748,0.8245614035087718
K00031,K04755,0.7358101135190918
K00031,K04771,0.7523219814241485
K00031,K04782,0.6119711042311662
K00031,K05710,0.8080495356037152
K00031,K05838,0.6986584107327141
K00031,K05874,0.7874097007223942
K00031,K05879,-0.6800825593395253
K00031,K05895,-0.7812177502579979
K00031,K05934,-0.7089783281733747
K00031,K05966,-0.7647058823529412
K00031,K06441,-0.6119711042311662
K00031,K06596,0.8885448916408669
K00031,K06597,0.8390092879256965
K00031,K06598,0.7048503611971104
K00031,K06861,0.6284829721362228
K00031,K06876,0.8163054695562436
K00031,K06993,-0.7770897832817338
K00031,K07232,0.7812177502579979
K00031,K07637,0.8555211558307534
K00031,K07638,0.8410732714138286
K00031,K07639,0.9256965944272446
K00031,K07642,-0.7688338493292053
K00031,K07644,0.7812177502579979
K00031,K07645,0.894736842105263
K00031,K07648,-0.7151702786377709
K00031,K07649,0.8782249742002064
K00031,K07652,-0.7894736842105263
K00031,K07653,0.87203302373581
K00031,K07673,0.8617131062951496
K00031,K07674,0.6656346749226005
K00031,K07691,0.7686825388211705
K00031,K07694,-0.6449948400412797
K00031,K07704,-0.7915376676986584
K00031,K07706,-0.6222910216718266
K00031,K07707,-0.7440660474716203
K00031,K07710,0.8472652218782251
K00031,K07712,0.869969040247678
K00031,K07715,0.6057791537667698
K00031,K07720,-0.6697626418988648
K00031,K07769,-0.6491228070175438
K00031,K07787,0.8802889576883385
K00031,K07788,0.7234262125902993
K00031,K07789,0.7729618163054695
K00031,K07795,0.7089783281733747
K00031,K07798,0.8782249742002064
K00031,K07810,0.8782249742002064
K00031,K08082,0.8885448916408669
K00031,K08083,0.8761609907120743
K00031,K08304,0.7234262125902993
K00031,K08305,0.9318885448916409
K00031,K08306,-0.8328173374613003
K00031,K08308,-0.7523219814241485
K00031,K08738,0.8286893704850361
K00031,K08928,0.6835588560224471
K00031,K08929,0.6517559770015293
K00031,K08992,0.6408668730650156
K00031,K09690,0.6202270381836945
K00031,K09760,0.9009287925696594
K00031,K09774,-0.7110423116615068
K00031,K10001,0.8059855521155831
K00031,K10002,0.7523219814241485
K00031,K10003,0.7874097007223942
K00031,K10004,0.7770897832817338
K00031,K10125,0.7089783281733747
K00031,K10126,0.6305469556243549
K00031,K10808,0.6576298862352937
K00031,K10851,0.7708978328173374
K00031,K10857,0.7131062951496387
K00031,K10914,0.8679050567595459
K00031,K10916,0.6904024767801857
K00031,K11103,0.8679050567595459
K00031,K11356,-0.8245614035087718
K00031,K11525,0.6222910216718266
K00031,K11526,0.9236326109391124
K00031,K11602,0.7151702786377709
K00031,K11603,0.6904024767801857
K00031,K11615,-0.6057791537667698
K00031,K11624,0.7956656346749225
K00031,K11625,0.6072602818228777
K00031,K11636,-0.6491228070175438
K00031,K11637,0.7358101135190918
K00031,K11688,0.6697626418988648
K00031,K11693,-0.8101135190918473
K00031,K11694,-0.7915376676986584
K00031,K11695,-0.7915376676986584
K00031,K11711,0.8782249742002064
K00031,K11712,0.7192982456140351
K00031,K11719,0.6470588235294118
K00031,K11720,0.7461300309597524
K00031,K12252,0.7602081715745838
K00031,K12256,0.869969040247678
K00031,K12264,-0.8472652218782251
K00031,K12296,-0.6305469556243549
K00031,K12531,0.9071207430340558
K00031,K12972,0.6904024767801857
K00031,K13041,0.7915376676986584
K00031,K13061,0.7894736842105263
K00031,K13490,0.87203302373581
K00031,K13587,0.6986584107327141
K00031,K13588,0.6742386030159963
K00031,K13771,0.7874097007223942
K00031,K13815,0.7502579979360166
K00031,K13816,0.8477027459052572
K00031,K13927,-0.7027863777089782
K00031,K14159,0.8493292053663571
K00031,K14188,-0.6763036523361065
K00031,K14578,0.7729618163054695
K00031,K14581,0.7523219814241485
K00031,K14980,0.8369453044375645
K00031,K14987,0.8059855521155831
K00031,K14989,0.6676986584107326
K00031,K15011,0.9133126934984519
K00031,K15012,0.8988648090815273
K00031,K15383,0.7192982456140351
K00031,K15753,0.632610939112487
K00031,K15853,0.653250773993808
K00031,K15861,0.7103585759383291
K00031,K15862,0.8844169246646028
K00031,K15864,0.8637770897832818
K00031,K16165,0.8431372549019607
K00031,K16871,0.8431372549019607
K00031,K17060,0.9360165118679051
K00031,K17061,0.7275541795665634
K00031,K18072,0.8142414860681115
K00031,K18094,0.8142414860681115
K00031,K18163,0.614352172732799
K00031,K18248,0.7667698658410733
K00031,K18253,-0.6202270381836945
K00031,K18322,0.7420020639834881
K00031,K18348,-0.653250773993808
K00031,K18351,0.9091847265221877
K00031,K18353,0.8348813209494325
K00031,K18354,-0.7956656346749225
K00031,K18444,0.7502579979360166
K00031,K18586,0.8019205541026817
K00031,K18587,0.8074342841631071
K00031,K18608,-0.7296181630546955
K00031,K19084,-0.7213622291021672
K00031,K19224,-0.6656346749226005
K00031,K19303,0.7667698658410733
K00031,K19343,0.8637770897832818
K00031,K19617,0.7192982456140351
K00031,K19618,0.6685313672375064
K00031,K19621,0.6432628632143425
K00031,K19622,0.6037151702786379
K00031,K20552,0.7420020639834881
K00031,K21471,-0.6904024767801857
K00031,K21480,0.651186790505676
K00031,K21567,0.7750257997936018
K00031,K21711,0.6945304437564499
K00031,K22292,0.9587203302373581
K00031,K22338,-0.8121775025799793
K00031,K22339,-0.8286893704850361
K00031,K22340,-0.7647058823529412
K00031,K22341,-0.8802889576883385
K00032,K01150,0.696594427244582
K00032,K02345,0.6561588797977108
K00032,K03430,0.7543859649122806
K00032,K06078,0.6470588235294118
K00032,K07394,0.7027863777089782
K00032,K07401,0.6264189886480908
K00032,K07698,0.6057791537667698
K00032,K11107,0.6883384932920537
K00032,K11522,-0.6057791537667698
K00032,K21457,0.6202270381836945
K00033,K00066,0.7316821465428276
K00033,K00075,-0.6057791537667698
K00033,K00169,0.7564499484004128
K00033,K00170,0.8513931888544891
K00033,K00171,0.8059855521155831
K00033,K00172,0.7812177502579979
K00033,K00174,0.6862745098039216
K00033,K00179,0.6099071207430341
K00033,K00180,0.717234262125903
K00033,K00188,0.7894736842105263
K00033,K00189,0.7688338493292053
